roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-2267,male,D,high school,1,0,72,64,89,75,300,B
std-2268,male,C,associate's degree,1,0,56,72,65,58,251,B
std-2269,male,B,bachelor's degree,1,0,30,89,78,41,238,C
std-2270,male,A,high school,1,1,49,29,55,39,172,D
std-2271,male,C,associate's degree,1,1,48,76,79,87,290,B
std-2272,male,C,associate's degree,1,0,36,63,72,56,227,C
std-2273,male,D,associate's degree,1,0,52,85,52,60,249,C
std-2274,male,B,some high school,0,0,34,66,36,49,185,D
std-2275,male,B,master's degree,1,0,15,100,41,51,207,C
std-2276,male,D,high school,0,1,87,91,71,54,303,B
std-2277,male,A,bachelor's degree,1,0,34,50,47,48,179,D
std-2278,male,C,high school,1,1,16,68,79,72,235,C
std-2279,male,C,some college,1,1,61,94,43,48,246,C
std-2280,male,D,high school,1,0,45,55,67,79,246,C
std-2281,male,A,some high school,1,1,29,93,69,94,285,B
std-2282,male,E,high school,1,0,84,42,68,73,267,B
std-2283,male,D,associate's degree,0,1,34,56,73,67,230,C
std-2284,male,C,some high school,1,1,21,59,63,36,179,D
std-2285,male,D,some high school,1,0,36,100,61,100,297,B
std-2286,male,E,some college,1,0,53,93,48,54,248,C
std-2287,male,E,bachelor's degree,0,0,56,43,36,69,204,C
std-2288,male,E,bachelor's degree,1,0,16,44,85,49,194,D
std-2289,male,C,associate's degree,1,1,56,84,51,47,238,C
std-2290,male,B,high school,1,0,41,47,93,48,229,C
std-2291,male,B,master's degree,1,1,58,83,98,35,274,B
std-2292,male,D,high school,1,0,16,72,61,45,194,D
std-2293,male,C,some high school,1,1,79,77,56,54,266,B
std-2294,male,A,bachelor's degree,0,0,70,70,69,51,260,B
std-2295,male,B,some college,1,1,28,60,68,57,213,C
std-2296,male,D,some college,1,1,85,92,54,34,265,B
std-2297,male,E,associate's degree,0,1,83,100,92,100,375,A
std-2298,male,D,some college,1,0,69,63,64,79,275,B
std-2299,male,E,master's degree,1,0,57,79,30,72,238,C
std-2300,male,C,bachelor's degree,1,0,16,46,51,79,192,D
std-2301,male,B,some college,1,0,47,73,44,86,250,B
std-2302,male,D,some college,1,0,25,100,10,100,235,C
std-2303,male,D,bachelor's degree,1,0,41,94,57,62,254,B
std-2304,male,E,some high school,0,1,55,100,74,69,298,B
std-2305,male,C,associate's degree,0,1,42,92,53,42,229,C
std-2306,male,E,some college,0,0,78,45,66,58,247,C
std-2307,male,E,bachelor's degree,1,0,32,49,79,88,248,C
std-2308,male,E,bachelor's degree,1,0,17,68,72,64,221,C
std-2309,male,B,high school,0,0,39,42,43,61,185,D
std-2310,male,D,high school,1,0,63,92,52,29,236,C
std-2311,male,C,some college,0,0,6,87,67,69,229,C
std-2312,male,D,associate's degree,0,1,46,65,61,9,181,D
std-2313,male,E,associate's degree,1,1,14,39,49,56,158,D
std-2314,male,D,bachelor's degree,1,0,74,40,82,80,276,B
std-2315,male,C,master's degree,1,0,42,17,98,87,244,C
std-2316,male,A,associate's degree,1,1,75,63,99,50,287,B
std-2317,male,D,high school,1,0,36,47,77,61,221,C
std-2318,male,C,high school,1,0,100,48,64,68,280,B
std-2319,male,D,some high school,1,1,47,81,66,74,268,B
std-2320,male,B,associate's degree,1,0,62,70,69,54,255,B
std-2321,male,C,bachelor's degree,1,0,51,80,86,75,292,B
std-2322,male,D,bachelor's degree,1,0,87,85,57,9,238,C
std-2323,male,E,some college,1,0,95,88,79,54,316,B
std-2324,male,B,some high school,1,1,66,100,54,92,312,B
std-2325,male,D,some high school,0,0,7,72,48,81,208,C
std-2326,male,C,some high school,0,1,100,78,33,35,246,C
std-2327,male,D,some college,0,1,48,60,88,87,283,B
std-2328,male,B,some college,1,1,28,98,96,61,283,B
std-2329,male,E,high school,0,0,43,100,89,25,257,B
std-2330,male,B,master's degree,1,1,77,96,89,72,334,A
std-2331,male,D,some college,1,0,46,39,65,63,213,C
std-2332,male,C,some college,1,0,44,61,78,97,280,B
std-2333,male,E,bachelor's degree,1,0,19,47,66,54,186,D
std-2334,male,B,master's degree,1,1,39,72,95,96,302,B
std-2335,male,B,high school,1,1,47,66,61,45,219,C
std-2336,male,E,high school,1,0,25,100,91,61,277,B
std-2337,male,D,some college,0,0,35,31,71,51,188,D
std-2338,male,A,some high school,1,0,32,69,100,73,274,B
std-2339,male,B,some high school,0,1,64,81,48,59,252,B
std-2340,male,E,some college,0,0,71,92,66,97,326,A
std-2341,male,C,some high school,1,1,66,81,46,27,220,C
std-2342,male,D,associate's degree,0,1,36,29,42,40,147,Fail
std-2343,male,A,bachelor's degree,0,0,13,72,50,42,177,D
std-2344,male,D,high school,1,1,58,77,93,65,293,B
std-2345,male,E,some college,1,0,26,57,75,100,258,B
std-2346,male,D,bachelor's degree,0,0,37,81,35,33,186,D
std-2347,male,A,high school,1,1,73,76,70,70,289,B
std-2348,male,B,high school,1,1,81,73,51,67,272,B
std-2349,male,D,bachelor's degree,1,0,100,90,50,55,295,B
std-2350,male,D,bachelor's degree,1,0,23,77,27,41,168,D
std-2351,male,C,some high school,1,1,28,74,63,50,215,C
std-2352,male,C,some high school,1,0,78,50,51,31,210,C
std-2353,male,C,some college,0,0,19,100,37,63,219,C
std-2354,male,D,some college,0,1,50,40,47,52,189,D
std-2355,male,D,high school,0,1,31,49,68,30,178,D
std-2356,male,D,some college,1,0,62,36,67,46,211,C
std-2357,male,C,master's degree,0,1,25,40,55,29,149,Fail
std-2358,male,E,associate's degree,1,0,67,68,67,68,270,B
std-2359,male,B,high school,1,0,57,17,59,60,193,D
std-2360,male,A,high school,1,1,75,81,65,47,268,B
std-2361,male,D,high school,1,0,26,73,71,67,237,C
std-2362,male,E,master's degree,1,1,71,81,61,84,297,B
std-2363,male,E,some college,1,0,63,52,67,45,227,C
std-2364,male,A,some college,1,0,51,95,86,87,319,B
std-2365,male,C,high school,1,0,46,84,81,95,306,B
std-2366,male,B,associate's degree,1,0,53,68,54,48,223,C
std-2367,male,C,some college,1,0,41,81,79,45,246,C
std-2368,male,E,high school,0,1,47,66,80,34,227,C
std-2369,male,E,some college,1,0,32,80,65,31,208,C
std-2370,male,B,bachelor's degree,1,0,39,70,47,44,200,C
std-2371,male,D,some high school,1,0,13,75,68,88,244,C
std-2372,male,D,some college,1,0,48,100,100,77,325,A
std-2373,male,C,master's degree,0,0,39,77,68,49,233,C
std-2374,male,B,some high school,1,0,100,98,48,80,326,A
std-2375,male,C,some college,0,0,49,83,81,35,248,C
std-2376,male,E,high school,1,0,75,35,31,63,204,C
std-2377,male,A,some high school,0,0,78,84,99,94,355,A
std-2378,male,D,high school,1,1,55,100,66,100,321,A
std-2379,male,D,some college,0,0,19,75,89,100,283,B
std-2380,male,B,some college,1,1,83,73,68,28,252,B
std-2381,male,C,associate's degree,0,0,31,100,81,31,243,C
std-2382,male,B,bachelor's degree,1,1,13,49,82,29,173,D
std-2383,male,D,some high school,1,1,35,79,67,46,227,C
std-2384,male,A,bachelor's degree,0,0,32,100,82,90,304,B
std-2385,male,D,bachelor's degree,1,0,29,60,61,52,202,C
std-2386,male,C,some college,1,1,78,59,53,69,259,B
std-2387,male,C,bachelor's degree,0,0,82,70,92,59,303,B
std-2388,male,B,high school,1,1,84,71,71,72,298,B
std-2389,male,C,some college,0,1,24,93,99,96,312,B
std-2390,male,D,bachelor's degree,1,0,43,100,100,72,315,B
std-2391,male,C,some college,0,0,51,62,80,82,275,B
std-2392,male,C,associate's degree,1,1,30,62,58,29,179,D
std-2393,male,B,some high school,1,1,49,58,49,12,168,D
std-2394,male,D,associate's degree,0,0,54,84,82,52,272,B
std-2395,male,B,some college,1,0,50,69,93,46,258,B
std-2396,male,B,some high school,0,0,51,80,42,61,234,C
std-2397,male,B,high school,0,0,26,66,71,56,219,C
std-2398,male,D,some high school,1,0,30,84,100,61,275,B
std-2399,male,D,associate's degree,0,0,50,75,73,78,276,B
std-2400,male,C,some college,1,0,32,93,58,48,231,C
std-2401,male,E,some high school,1,0,62,87,60,71,280,B
std-2402,male,A,master's degree,0,0,35,86,56,98,275,B
std-2403,male,C,associate's degree,0,1,26,94,85,76,281,B
std-2404,male,E,some high school,1,0,4,41,50,48,143,Fail
std-2405,male,B,some high school,0,1,16,74,74,59,223,C
std-2406,male,B,some college,0,1,10,89,56,51,206,C
std-2407,male,C,master's degree,0,1,68,69,64,59,260,B
std-2408,male,B,bachelor's degree,0,0,77,83,35,71,266,B
std-2409,male,B,master's degree,1,0,55,31,52,74,212,C
std-2410,male,D,some college,0,0,36,56,59,31,182,D
std-2411,male,C,associate's degree,1,0,31,78,70,46,225,C
std-2412,male,B,high school,1,0,49,80,75,38,242,C
std-2413,male,C,associate's degree,1,0,30,42,40,72,184,D
std-2414,male,D,associate's degree,0,0,36,78,67,50,231,C
std-2415,male,B,high school,1,1,14,100,80,69,263,B
std-2416,male,B,some high school,1,1,65,92,89,77,323,A
std-2417,male,E,some college,1,0,28,78,54,52,212,C
std-2418,male,E,high school,1,1,64,51,51,47,213,C
std-2419,male,E,some college,1,1,87,75,41,33,236,C
std-2420,male,C,some high school,1,0,43,44,83,56,226,C
std-2421,male,D,bachelor's degree,1,0,19,89,10,71,189,D
std-2422,male,E,associate's degree,1,0,47,83,87,70,287,B
std-2423,male,C,high school,0,0,47,57,60,49,213,C
std-2424,male,B,bachelor's degree,0,0,61,42,47,78,228,C
std-2425,male,D,some college,0,0,39,80,67,65,251,B
std-2426,male,C,some high school,1,0,50,51,89,55,245,C
std-2427,male,D,some high school,0,0,21,78,65,74,238,C
std-2428,male,B,high school,1,1,74,59,50,61,244,C
std-2429,male,C,associate's degree,1,0,8,100,59,66,233,C
std-2430,male,E,bachelor's degree,0,0,52,71,85,55,263,B
std-2431,male,C,associate's degree,1,0,41,80,76,75,272,B
std-2432,male,C,some college,1,0,52,96,59,80,287,B
std-2433,male,E,some high school,1,1,67,65,88,45,265,B
std-2434,male,D,master's degree,0,0,74,83,79,100,336,A
std-2435,male,D,high school,1,0,34,57,91,65,247,C
std-2436,male,C,some high school,0,0,73,57,87,89,306,B
std-2437,male,C,associate's degree,1,0,40,47,74,71,232,C
std-2438,male,B,high school,1,1,70,70,95,64,299,B
std-2439,male,C,some college,0,0,89,33,34,32,188,D
std-2440,male,E,some high school,1,0,41,79,82,33,235,C
std-2441,male,E,some college,1,0,64,78,64,64,270,B
std-2442,male,D,bachelor's degree,1,0,15,69,51,72,207,C
std-2443,male,A,high school,1,0,37,79,60,57,233,C
std-2444,male,D,associate's degree,1,1,39,53,66,64,222,C
std-2445,male,E,some college,1,1,75,79,37,89,280,B
std-2446,male,E,bachelor's degree,1,0,49,31,32,25,137,Fail
std-2447,male,C,associate's degree,0,0,42,44,53,53,192,D
std-2448,male,D,high school,1,0,38,93,70,94,295,B
std-2449,male,B,some college,0,0,33,87,97,51,268,B
std-2450,male,C,high school,0,0,76,79,97,96,348,A
std-2451,male,B,bachelor's degree,0,1,41,64,71,100,276,B
std-2452,male,C,high school,1,0,84,84,50,47,265,B
std-2453,male,C,associate's degree,1,0,92,70,46,50,258,B
std-2454,male,B,bachelor's degree,1,0,62,90,53,91,296,B
std-2455,male,C,bachelor's degree,0,0,43,74,36,77,230,C
std-2456,male,B,high school,0,1,69,61,86,46,262,B
std-2457,male,C,high school,1,1,18,59,57,65,199,D
std-2458,male,B,some college,1,0,27,60,54,36,177,D
std-2459,male,E,associate's degree,1,1,100,62,91,86,339,A
std-2460,male,B,high school,0,0,76,73,76,92,317,B
std-2461,male,D,associate's degree,1,0,13,63,57,74,207,C
std-2462,male,B,some college,0,1,62,92,80,92,326,A
std-2463,male,E,some high school,0,1,73,61,56,45,235,C
std-2464,male,A,bachelor's degree,1,0,31,80,33,45,189,D
std-2465,male,B,some college,1,0,78,89,67,73,307,B
std-2466,male,C,master's degree,0,0,9,43,84,52,188,D
std-2467,male,C,high school,1,0,75,88,68,74,305,B
std-2468,male,D,bachelor's degree,0,1,22,58,48,59,187,D
std-2469,male,A,some high school,1,0,14,96,53,54,217,C
std-2470,male,C,associate's degree,0,0,25,62,33,46,166,D
std-2471,male,C,some high school,0,0,82,77,100,81,340,A
std-2472,male,D,some college,0,0,88,72,49,71,280,B
std-2473,male,C,some high school,0,0,78,97,74,68,317,B
std-2474,male,B,high school,1,0,81,61,49,58,249,C
std-2475,male,D,bachelor's degree,1,0,47,56,76,64,243,C
std-2476,male,D,some college,1,0,87,62,62,69,280,B
std-2477,male,D,some college,1,1,41,74,73,59,247,C
std-2478,male,B,associate's degree,1,0,71,80,97,77,325,A
std-2479,male,E,associate's degree,0,0,66,93,82,74,315,B
std-2480,male,D,some college,1,1,33,89,76,61,259,B
std-2481,male,C,associate's degree,1,0,28,45,66,83,222,C
std-2482,male,C,bachelor's degree,1,0,48,89,59,64,260,B
std-2483,male,E,associate's degree,0,0,72,57,72,89,290,B
std-2484,male,E,bachelor's degree,1,1,57,44,45,63,209,C
std-2485,male,D,some college,0,0,0,63,36,47,146,Fail
std-2486,male,D,associate's degree,0,0,75,100,65,46,286,B
std-2487,male,C,associate's degree,0,1,41,79,41,82,243,C
std-2488,male,C,some high school,0,1,55,34,75,62,226,C
std-2489,male,C,some college,1,1,76,49,54,48,227,C
std-2490,male,A,some college,1,1,89,77,79,100,345,A
std-2491,male,D,associate's degree,1,1,52,81,100,56,289,B
std-2492,male,D,associate's degree,0,1,77,72,40,100,289,B
std-2493,male,A,some college,1,1,64,37,58,97,256,B
std-2494,male,D,some high school,0,1,72,100,100,86,358,A
std-2495,male,B,bachelor's degree,1,0,34,91,67,78,270,B
std-2496,male,D,some college,1,0,46,83,54,85,268,B
std-2497,male,B,some high school,0,1,31,73,78,56,238,C
std-2498,male,D,bachelor's degree,0,0,69,100,72,88,329,A
std-2499,male,E,high school,1,0,43,59,40,90,232,C
std-2500,male,B,bachelor's degree,1,1,62,97,62,100,321,A
std-2501,male,B,master's degree,1,1,50,55,57,57,219,C
std-2502,male,D,master's degree,1,0,82,39,74,71,266,B
std-2503,male,A,high school,1,1,36,59,40,29,164,D
std-2504,male,A,high school,1,0,57,63,89,95,304,B
std-2505,male,B,some college,0,0,17,54,66,77,214,C
std-2506,male,C,bachelor's degree,1,1,84,78,68,70,300,B
std-2507,male,D,high school,1,1,100,36,54,64,254,B
std-2508,male,D,some college,1,1,89,83,71,100,343,A
std-2509,male,B,associate's degree,0,1,28,59,100,98,285,B
std-2510,male,C,master's degree,1,0,85,43,41,75,244,C
std-2511,male,D,some college,1,0,53,74,77,70,274,B
std-2512,male,A,some high school,0,1,24,63,62,56,205,C
std-2513,male,D,associate's degree,0,0,73,100,85,51,309,B
std-2514,male,D,associate's degree,0,0,71,92,76,46,285,B
std-2515,male,C,associate's degree,1,0,16,98,62,67,243,C
std-2516,male,B,bachelor's degree,0,1,35,54,66,47,202,C
std-2517,male,C,some college,1,1,67,71,78,64,280,B
std-2518,male,D,high school,1,0,32,81,66,59,238,C
std-2519,male,E,some college,0,0,11,91,82,76,260,B
std-2520,male,E,some high school,1,0,75,83,73,57,288,B
std-2521,male,C,some college,0,0,24,64,48,89,225,C
std-2522,male,D,some high school,1,1,58,63,56,61,238,C
std-2523,male,B,some high school,0,0,80,56,57,65,258,B
std-2524,male,D,associate's degree,0,0,43,47,60,65,215,C
std-2525,male,E,some college,1,0,50,71,56,91,268,B
std-2526,male,C,some college,1,1,89,77,86,33,285,B
std-2527,male,E,associate's degree,1,1,38,55,53,59,205,C
std-2528,male,C,some college,1,0,56,100,88,58,302,B
std-2529,male,C,associate's degree,1,0,28,58,74,82,242,C
std-2530,male,B,associate's degree,0,1,70,80,84,68,302,B
std-2531,male,B,master's degree,1,1,59,100,71,37,267,B
std-2532,male,B,bachelor's degree,0,0,70,51,80,31,232,C
std-2533,male,C,bachelor's degree,1,1,67,78,43,78,266,B
std-2534,male,D,associate's degree,1,1,40,72,62,56,230,C
std-2535,male,C,master's degree,1,1,33,63,95,30,221,C
std-2536,male,C,high school,0,1,17,96,69,62,244,C
std-2537,male,C,some high school,0,0,71,76,29,99,275,B
std-2538,male,D,some high school,1,1,81,66,44,91,282,B
std-2539,male,C,associate's degree,0,0,14,78,71,77,240,C
std-2540,male,B,some college,1,1,43,57,45,50,195,D
std-2541,male,D,some high school,1,1,64,74,80,55,273,B
std-2542,male,C,some college,1,0,56,60,60,100,276,B
std-2543,male,D,some high school,0,0,17,76,58,69,220,C
std-2544,male,C,master's degree,1,0,26,79,68,100,273,B
std-2545,male,C,bachelor's degree,1,0,43,48,62,55,208,C
std-2546,male,B,some high school,1,0,49,92,87,87,315,B
std-2547,male,C,high school,1,0,63,82,80,15,240,C
std-2548,male,C,associate's degree,0,0,26,90,92,56,264,B
std-2549,male,C,associate's degree,1,0,49,91,75,70,285,B
std-2550,male,B,associate's degree,0,1,64,73,32,50,219,C
std-2551,male,C,some high school,0,0,58,63,73,71,265,B
std-2552,male,A,some college,1,1,93,17,28,56,194,D
std-2553,male,D,high school,1,0,19,78,98,84,279,B
std-2554,male,D,some high school,1,1,71,80,82,51,284,B
std-2555,male,B,some college,0,1,49,33,47,50,179,D
std-2556,male,B,associate's degree,1,0,10,81,61,30,182,D
std-2557,male,D,associate's degree,0,0,50,95,10,36,191,D
std-2558,male,D,high school,0,1,40,68,59,72,239,C
std-2559,male,E,some college,0,1,15,75,71,47,208,C
std-2560,male,B,bachelor's degree,0,1,12,51,54,15,132,Fail
std-2561,male,A,some college,1,1,37,81,61,93,272,B
std-2562,male,E,some college,1,1,100,60,86,65,311,B
std-2563,male,C,some college,0,0,67,41,73,36,217,C
std-2564,male,E,some high school,0,1,48,54,82,36,220,C
std-2565,male,D,some high school,1,0,70,59,64,55,248,C
std-2566,male,C,high school,0,0,41,56,76,37,210,C
std-2567,male,C,associate's degree,1,1,48,81,40,97,266,B
std-2568,male,C,bachelor's degree,1,1,36,63,59,96,254,B
std-2569,male,D,bachelor's degree,0,0,100,85,52,55,292,B
std-2570,male,C,bachelor's degree,0,0,38,86,91,59,274,B
std-2571,male,B,master's degree,1,1,42,52,49,72,215,C
std-2572,male,D,associate's degree,1,0,81,59,70,45,255,B
std-2573,male,B,master's degree,1,0,70,89,67,79,305,B
std-2574,male,E,some high school,0,0,45,81,57,87,270,B
std-2575,male,D,high school,0,0,58,64,68,46,236,C
std-2576,male,D,high school,0,1,40,64,65,34,203,C
std-2577,male,B,high school,0,0,33,47,47,36,163,D
std-2578,male,C,some high school,1,0,76,63,73,92,304,B
std-2579,male,B,bachelor's degree,1,0,55,92,54,89,290,B
std-2580,male,C,associate's degree,0,0,28,66,78,95,267,B
std-2581,male,C,some high school,0,0,69,84,61,97,311,B
std-2582,male,D,some college,1,0,21,42,67,25,155,D
std-2583,male,A,some college,0,0,84,64,59,65,272,B
std-2584,male,D,some college,0,1,70,94,98,60,322,A
std-2585,male,B,associate's degree,1,1,54,70,84,100,308,B
std-2586,male,D,high school,0,0,69,63,99,52,283,B
std-2587,male,B,some high school,1,1,49,94,77,67,287,B
std-2588,male,C,some high school,0,0,81,66,79,86,312,B
std-2589,male,B,bachelor's degree,1,0,66,68,81,82,297,B
std-2590,male,C,associate's degree,0,1,30,58,56,75,219,C
std-2591,male,D,associate's degree,1,0,46,79,68,97,290,B
std-2592,male,D,some college,0,0,50,34,37,68,189,D
std-2593,male,B,some college,1,1,66,88,97,100,351,A
std-2594,male,C,high school,1,0,13,50,50,71,184,D
std-2595,male,B,some college,1,1,58,34,66,72,230,C
std-2596,male,C,associate's degree,1,0,42,45,40,45,172,D
std-2597,male,C,bachelor's degree,1,0,33,91,39,44,207,C
std-2598,male,C,associate's degree,0,1,99,75,44,60,278,B
std-2599,male,D,bachelor's degree,1,1,49,90,56,81,276,B
std-2600,male,A,some college,0,0,79,81,46,48,254,B
std-2601,male,D,some high school,0,0,61,58,61,41,221,C
std-2602,male,D,some college,0,1,76,97,35,75,283,B
std-2603,male,E,some high school,1,1,73,86,80,61,300,B
std-2604,male,C,master's degree,1,0,0,66,48,90,204,C
std-2605,male,E,associate's degree,1,1,28,60,100,54,242,C
std-2606,male,B,some high school,1,1,47,95,52,51,245,C
std-2607,male,D,high school,1,0,61,89,72,85,307,B
std-2608,male,B,associate's degree,1,0,59,44,45,62,210,C
std-2609,male,A,master's degree,1,1,62,39,74,68,243,C
std-2610,male,C,some college,1,0,46,85,43,70,244,C
std-2611,male,C,high school,1,1,28,75,56,59,218,C
std-2612,male,B,high school,0,0,20,58,95,55,228,C
std-2613,male,A,some college,0,1,39,100,82,39,260,B
std-2614,male,D,some college,1,0,71,66,91,12,240,C
std-2615,male,C,some high school,1,0,12,85,79,59,235,C
std-2616,male,D,bachelor's degree,1,0,54,83,72,53,262,B
std-2617,male,C,some high school,1,0,18,64,34,100,216,C
std-2618,male,C,some high school,0,0,73,86,84,78,321,A
std-2619,male,C,some high school,1,0,27,70,65,96,258,B
std-2620,male,D,high school,0,1,33,68,75,37,213,C
std-2621,male,E,master's degree,0,0,70,77,32,91,270,B
std-2622,male,B,high school,0,1,15,52,81,56,204,C
std-2623,male,C,some high school,0,1,58,56,52,40,206,C
std-2624,male,D,bachelor's degree,1,0,34,80,55,88,257,B
std-2625,male,A,high school,1,0,30,17,97,43,187,D
std-2626,male,D,associate's degree,1,0,68,94,74,87,323,A
std-2627,male,C,high school,0,1,74,46,72,76,268,B
std-2628,male,C,bachelor's degree,0,0,25,40,72,72,209,C
std-2629,male,B,bachelor's degree,0,0,37,63,80,70,250,B
std-2630,male,B,high school,1,0,97,74,88,81,340,A
std-2631,male,C,some college,1,1,31,88,47,70,236,C
std-2632,male,D,high school,0,1,88,88,38,22,236,C
std-2633,male,C,master's degree,0,0,10,72,58,91,231,C
std-2634,male,D,associate's degree,1,1,20,75,62,44,201,C
std-2635,male,D,high school,0,0,54,83,53,65,255,B
std-2636,male,C,high school,1,1,68,100,100,90,358,A
std-2637,male,C,associate's degree,1,0,58,57,80,71,266,B
std-2638,male,D,some college,1,0,23,90,85,31,229,C
std-2639,male,D,some college,1,1,65,69,78,65,277,B
std-2640,male,D,some college,1,1,51,76,100,44,271,B
std-2641,male,E,high school,0,0,25,96,48,80,249,C
std-2642,male,E,high school,1,0,49,58,77,89,273,B
std-2643,male,E,some high school,0,0,70,77,69,44,260,B
std-2644,male,D,some college,1,0,53,93,60,82,288,B
std-2645,male,D,some college,0,0,10,39,39,62,150,D
std-2646,male,E,high school,0,0,74,57,70,86,287,B
std-2647,male,D,some college,0,1,82,89,93,41,305,B
std-2648,male,D,master's degree,1,0,73,61,34,100,268,B
std-2649,male,D,bachelor's degree,0,1,40,84,61,52,237,C
std-2650,male,C,bachelor's degree,1,0,100,58,80,52,290,B
std-2651,male,B,some college,0,1,72,50,59,81,262,B
std-2652,male,C,bachelor's degree,1,0,49,76,34,76,235,C
std-2653,male,B,bachelor's degree,1,0,83,62,91,40,276,B
std-2654,male,E,bachelor's degree,0,1,67,65,68,48,248,C
std-2655,male,C,high school,0,0,49,96,83,70,298,B
std-2656,male,D,some high school,1,0,38,30,53,51,172,D
std-2657,male,E,associate's degree,0,0,35,64,89,17,205,C
std-2658,male,A,high school,0,0,37,62,55,69,223,C
std-2659,male,D,some college,0,0,10,75,51,52,188,D
std-2660,male,D,high school,1,1,49,53,58,57,217,C
std-2661,male,C,high school,1,1,41,91,73,38,243,C
std-2662,male,D,bachelor's degree,1,1,42,53,72,63,230,C
std-2663,male,D,associate's degree,1,1,61,67,96,82,306,B
std-2664,male,C,some high school,1,0,47,82,54,26,209,C
std-2665,male,D,bachelor's degree,1,1,63,62,100,74,299,B
std-2666,male,D,associate's degree,0,0,32,81,69,97,279,B
std-2667,male,D,high school,1,0,81,71,100,85,337,A
std-2668,male,B,some college,0,1,62,70,98,68,298,B
std-2669,male,D,some high school,1,1,46,53,55,89,243,C
std-2670,male,C,associate's degree,1,1,61,80,36,27,204,C
std-2671,male,C,some high school,1,1,45,100,52,36,233,C
std-2672,male,D,high school,0,1,26,68,53,43,190,D
std-2673,male,D,associate's degree,1,0,69,86,56,47,258,B
std-2674,male,D,master's degree,0,0,67,35,36,44,182,D
std-2675,male,E,high school,1,1,85,77,82,91,335,A
std-2676,male,B,some high school,1,1,70,78,49,76,273,B
std-2677,male,C,high school,0,1,73,65,82,83,303,B
std-2678,male,D,some college,1,0,19,78,88,36,221,C
std-2679,male,E,associate's degree,1,1,50,74,62,38,224,C
std-2680,male,E,high school,1,0,23,100,84,70,277,B
std-2681,male,C,high school,0,0,77,75,73,55,280,B
std-2682,male,C,high school,1,0,55,81,73,82,291,B
std-2683,male,C,high school,0,1,37,40,36,42,155,D
std-2684,male,B,some college,1,0,32,77,49,56,214,C
std-2685,male,D,some college,1,0,55,80,78,89,302,B
std-2686,male,B,bachelor's degree,1,0,67,17,82,65,231,C
std-2687,male,C,high school,1,1,38,37,51,78,204,C
std-2688,male,D,master's degree,0,1,70,76,78,32,256,B
std-2689,male,D,associate's degree,1,0,23,62,64,32,181,D
std-2690,male,C,some high school,0,0,53,95,71,73,292,B
std-2691,male,D,some college,1,0,28,55,60,62,205,C
std-2692,male,E,associate's degree,0,0,22,59,55,77,213,C
std-2693,male,E,high school,0,0,52,57,78,49,236,C
std-2694,male,E,high school,1,1,28,76,51,67,222,C
std-2695,male,D,high school,1,0,76,50,67,64,257,B
std-2696,male,D,high school,1,1,69,79,100,58,306,B
std-2697,male,A,some college,1,0,43,100,31,63,237,C
std-2698,male,D,high school,1,0,58,59,66,30,213,C
std-2699,male,D,some high school,0,1,64,75,70,54,263,B
std-2700,male,C,associate's degree,1,0,80,46,67,54,247,C
std-2701,male,B,high school,0,1,47,70,74,58,249,C
std-2702,male,B,high school,1,0,46,87,54,56,243,C
std-2703,male,B,some high school,0,0,42,96,85,57,280,B
std-2704,male,C,some college,0,0,60,81,37,68,246,C
std-2705,male,D,high school,0,0,31,69,61,36,197,D
std-2706,male,B,bachelor's degree,1,0,66,64,84,45,259,B
std-2707,male,E,some college,1,1,43,100,92,36,271,B
std-2708,male,C,bachelor's degree,1,1,74,100,100,76,350,A
std-2709,male,B,some college,1,1,95,98,93,91,377,A
std-2710,male,B,some high school,1,1,0,100,51,76,227,C
std-2711,male,C,high school,1,0,25,56,53,91,225,C
std-2712,male,D,master's degree,1,0,36,56,70,66,228,C
std-2713,male,D,high school,1,1,44,46,71,69,230,C
std-2714,male,B,bachelor's degree,1,1,40,93,67,59,259,B
std-2715,male,D,some college,1,1,40,51,36,84,211,C
std-2716,male,C,some college,0,0,74,52,70,49,245,C
std-2717,male,B,high school,0,0,69,49,70,53,241,C
std-2718,male,B,bachelor's degree,0,0,66,66,75,12,219,C
std-2719,male,E,high school,1,0,94,65,65,53,277,B
std-2720,male,E,bachelor's degree,1,1,56,71,66,88,281,B
std-2721,male,A,high school,1,0,13,77,88,41,219,C
std-2722,male,C,some college,0,0,37,64,78,34,213,C
std-2723,male,A,some high school,1,0,10,100,87,75,272,B
std-2724,male,E,associate's degree,1,0,77,85,58,83,303,B
std-2725,male,D,master's degree,0,1,89,99,67,78,333,A
std-2726,male,D,associate's degree,0,0,48,49,78,72,247,C
std-2727,male,D,bachelor's degree,1,0,49,65,81,71,266,B
std-2728,male,C,associate's degree,1,0,100,97,88,51,336,A
std-2729,male,C,master's degree,1,0,74,75,96,100,345,A
std-2730,male,B,some high school,0,1,37,76,71,64,248,C
std-2731,male,D,high school,1,0,46,95,33,83,257,B
std-2732,male,B,some high school,1,0,46,60,74,68,248,C
std-2733,male,E,some high school,1,1,24,85,52,98,259,B
std-2734,male,E,master's degree,1,0,57,36,90,52,235,C
std-2735,male,E,some college,1,1,49,62,42,92,245,C
std-2736,male,D,associate's degree,0,0,58,66,100,9,233,C
